FTITLE,FDESC,TYPE
宣言,电视连续剧《宣言》以中国共产党在全国建立的最早农村支部之一——中共刘集党支部的革命斗争历史和保存到现在最早的《共产党宣言》中文译本为原型素材，再现了从上世纪二十年代初到四十年代末，中国共产党的基层党组织带领农民与日伪敌顽、反动政权、地主恶霸进行斗争的革命历史和和几代人为保护《共产党宣言》流血牺牲的感人故事。从一个基层党组织的发展成长壮大历史，折射出了中国共产党由弱到强、有小到大，直至推倒三座大山建立新中国的艰难曲折的革命斗争历史。,"军旅,历史"
对手,这是发生在第一次世界大战到第二次世界大战期间一个充满着人文主义情怀的、惊心动魄的、惊险的宏大战争史诗巨作。它不是简单地站在战争的素材上说战争的故事，而是着重于刻画战争中的人文观和价值观的选择，在那曲折的人物命运和惊心动魄的对手之间的搏杀中，笃显出了坚持人类正确价值观的牺牲与伟大，在非正义的事业中间那种扭曲与痛苦。 　　,"军旅,历史"
暗战危城,该剧围绕抗战时期桂林土生土长的戚家和苏家两家人物命运展开，以戚家兄弟与苏家姐妹的爱恨情仇为情感线，讲述了戚家四兄弟在各方势力割据，家族矛盾等无形外力的驱使下，走上了不同道路的故事。,军旅
千里雷声万里闪,廖惊北等一批共产党人在陕甘边地区出生入死浴血奋战，从建立小股游击队开始，一步步壮大为主力红军并建立了照金、南梁红色根据地。他们在强大的白色势力的包围下，粉碎了敌人一次次的围剿，屡战屡败、屡败屡战，演绎了一幕幕传奇而悲壮的故事。最后壮大了红军队伍，建立了陕北红色根据地，为迎接中央红军到达陕北做出了巨大的贡献。,军旅
终极使命,爱国青年林天正、许松、沈文杰、顾一男等人被秘密招募进名为“中央俱乐部”的团体，艰苦的训练让他们结下友谊，同时也给身为共产党员的教官高寒留下了深刻印象。 　　在高寒带领下，林天正等人接受了入训以来的第一个任务。不料，他们被意外卷入一场阴谋之中。特训班的最高指挥官对林天正等人下达了追杀令。四一二事件爆发，林天正等人看清了国民党虚伪的嘴脸，主动协助高寒解救被国民党关押的共产党学员。 　　九一八事变后，日本的恶劣行径受到了以国际联盟为代表的国际社会的普遍反对，日本决定在上海制造事端以转移国际视线，林天正等人在高寒和另一名共产党员姚珂的帮助下，开始了抗日救国之路。,军旅
马兰谣,该剧以中国工程院院士、我国爆炸力学和核试验工程领域的著名专家林俊德将军的事迹为原型，真实讲述了他朴素人生和生命最后八天壮举的故事，同时也展示了为国防事业无私奉献、隐姓埋名、鲜为人知的一个群体可歌可敬的人生。林俊德是一个地道农民的后生，是我国土生土长、自己培养的科学家，他五十二年扎根大漠戈壁，隐姓埋名，参加了我国全部核试验任务，为国防和军队现代化建设作出了卓越贡献。2012年5月，在得知自己身患绝症不久人世时，他毅然放弃治疗，选择工作直至生命的最后一刻。,军旅
风雷动,该剧展现了以王雷饰演的军医冷风为首的抗日力量对抗日寇细菌侵略的“哈尔滨往事”。剧中许多场解剖戏都到了以假乱真的地步，一场戏下来令王雷忍不住想吐。剧中，冷风一出场就卷入了日军秘密进行的细菌实验的风波，身为军医的他义不容辞地肩负起了追查真相、保护哈尔滨市民的重任。王雷不仅要在枪炮声中镇定自若地完成手术，还要面对日本武士道的挑战。,军旅
黑名单 第三季,几十年来，绰号“红魔”的前军事情报官员Raymond一直是联邦调查局通缉犯名单上的重要人物。他为全世界形形色色的罪犯代办各种交易，撮合非法生意，被人们称为“犯罪世界的管理员”。然而令人大跌眼镜的是，他竟然主动向从来没有抓住过他的联邦调查局自首，并提出一个神秘但是惊人的条件……,"犯罪,悬疑"
生死瞬间,于洪天和杜健康来到健康制药，却发现资料已经被删除，正在杜健康重建文档的时候，整栋大楼的电源被邓斌切断。于洪天带着杜健康逃出大楼，躲进地下停车场。于洪天教杜健康怎样用枪，两人决定并肩奋战，直到耿娟带人支援。在与邓斌的激战中，杜健康为了掩护于洪天被子弹打中。  　　最终黑虎将邓斌抓住。邓斌供认自己就是天堂鸟。专案组经过讨论认为邓斌应该不是天堂鸟，他身后应该还有更大的团伙......,"犯罪,悬疑"
命案十三宗 第二部 真相,我们生活中总有一些悲剧不断发生，夫妻之间、邻里之间、朋友之间、同事之间、因一些琐碎的事情而发生矛盾，并且因为各自的固执和偏狭，导致矛盾愈演愈烈，双方按捺不住，激情杀人。类似悲剧在我们的周围俯拾皆是，但遗憾的是，许多人关注的是悲剧的结果，往往忽略了悲剧的起因。本剧目的就在于让人们透过这些悲剧发生、发展的过程，让每一个人都警惕自己生活中的某些情感变化，并以别人的悲剧为鉴，理智地化解这些情感变化。由于激愤杀人的触发点大都是生活小事、没有波澜壮阔的情节背景，没有大起大落的人物命运变化，有的只是某种情绪在生活琐事中的不断积累，是人物心态的稍微变化，极适宜以小见大的系列单元剧表现，并且唯此才能涵盖生活的丰富和广泛。,犯罪
暗战,这是一个描绘我公安干警与境内外贩毒组织进行殊死斗争、甘为人民洒尽热血的英雄故事。 　　十年前，时任龙兴市公安局缉毒支队支队长的骆成龙得到情报，大宗毒品要转运到龙兴市，骆成龙亲自出马指挥围捕行动。他的儿子，也就是龙兴市公安局特警大队队长骆树英奉命配合缉毒支队行动。由于骆成龙固执己见，导致行动失败。 　　省厅派人调查情况，骆树英如实反映了实情。骆成龙最终接受处分，离开了岗位。骆成龙迁怒于儿子，从此跟骆树英形同陌路。十年后，我警方为了打击以女毒枭穆吉春为首的境外贩毒集团，委任骆树英出任龙兴市缉毒支队队长一职，故事也由此展开……,"犯罪,悬疑"
苍天厚土,淮河岸边的花岗生产队里，朱、常两姓家族在此繁衍生息，但因历史原因，竟结仇数百年。刚粉碎四人帮，队里吃大锅饭，社员们出工不出力，打下的粮食填不饱肚子。副队长常庆松因搞副业被游街示众。他的妹妹常柳枝因卖笆斗被县“打把办”关了起来，花岗生产队长朱占金的儿子朱淮川去给她送饭，原来就相互暗恋的两个人建立了爱情。也在两个家族里引起了风波……,农村
望海的女人,以福建东山岛的寡妇村为故事原型，讲述1949年仲夏发生在“离岛”上的故事：邱家丫鬟许淑萍被匆匆嫁往离岛不久，一场兵灾就将丈夫王金水和岛上的男人全部抓兵到了台湾，小岛一夜之间成为没有男人的“寡妇村”。淑萍和岛上的女人们一起立誓今世侍奉公婆，给丈夫留一个家。四十个酷暑寒冬，女人们向海神祈祷，日子在没有爱的无穷尽的等待与盼望、希望与失望、诱惑与坚守、奇迹与疯狂中划过。辗转在两岸之间的家书，成为牵系亲情的纽带，也演绎了一段段“家”和“爱”的传奇。,
囧囧十二座 第一季,《囧囧十二座 第一季》以某小学中12名性格迥异，分属不同星座的学生为主，讲述他们在遇到各种突发状况或是日常生活中的有趣小事，通过每个星座学生不同的性格特征，来展现他们的不同态度。,"奇幻,喜剧"
信者无敌,滇军第九旅旅长范天喜骁勇善战，行事荒诞不经。蒋介石的中央军剿共，急需滇军支持，范天喜借故以荒唐行为对抗上级剿共的命令，他的行为导致中央军失利，中央军将罪责推至滇军头上，并索要范天喜的项上人头。滇军总司令龙云不愿滇军成为蒋介石剿共的工具，决定牺牲范天喜给蒋介石赔罪。而蒋介石方面的徐远东等人也坚信范天喜就是共党奸细，他们设下重重陷阱，让范天喜屡次落入险境。敌人处处下杀招，一时间范天喜危机四伏。范天喜与敌人斗智斗勇，并出滇抗战八年，几番身陷险境，却仍以报效国家民族为己任，几次瓦解了敌人阴谋。1949年，范天喜与卢汉联手抓住大批国民党高官，宣布云南起义，在解放军的帮助下，最终消灭了国军主力，云南解放，滇军迎来了新生。,军旅
国家底线,故事发生在2001年至2007年，中国加入世贸组织之后，关税措施逐渐减弱，出入境门槛降低，质检把关的任务加重。国门五道关口，质检把守着动植物检疫、人员卫生检疫、商品质量和反欺诈三道关口，守住国家质量安全底线的历史重任落在检验检疫国门卫士身上。国家质检总局副司长来到通海省检验检疫局担任局长，他带着在基层探索中国特色质检体制的任务，在省一级检验检疫局大胆改革和探索。,
我是你的眼,1977年，田家坝的知青陈实在意外中眼睛受伤几近失明，在邻居春妮的精心照料下，陈实重见光明，二人相恋结婚。文革后恢复高考，陈实在春妮的支持下考上医学院。求学期间，陈实受到同学严真真的追求，严真真以春妮会耽误陈实前途为名，使得春妮主动和陈实离婚。离婚后春妮发现自己怀孕，在陈实不知情下生子，一场地震，春妮儿子丢失。陈实参加救援队，按照法律程序收养了一个地震孤儿，后出国深造成为眼科专家，又组成了新的家庭，春妮也成家生女。多年后，二人配偶分别去世，二人再次相遇，春妮为陈实默默牺牲奉献，但是黄昏恋又遭到子女反对。最后春妮眼疾病重，陈实愿意当作她的眼睛与她终其一生。,
咱们相爱吧,天生一根筋的女建筑师林笑笑，因为坚持原则，在事业和婚姻中走得跌跌撞撞，失业离婚后，上照顾母亲，下抚养多病的儿子，生活艰难。嫁入豪门的蔡春妮和事业有成的潘芝芝是林笑笑一起长大的死党，两人彼此看不惯，却因为林笑笑在两人中间的“缝缝补补”，维持着“固若金汤”的友谊。和建筑师时光的相遇，让林笑笑的事业、爱情发生翻天覆地的变化。不料潘芝芝却也同时爱上了时光，尽管时光选择了林笑笑，但潘芝芝告诉林笑笑自己意外与时光有过一夕之缘，如今已经珠胎暗结。知情后林笑笑在友谊与爱情间进退两难。表面上衣食无忧的蔡春妮，风光背后却默默忍受婆婆的刁难和继女的怨恨，随着初恋黄绍谷的到来，揭出蔡家深埋的巨大秘密，她的家庭、婚姻、友谊也因此面临重大的考验。三个努力寻求新生的女人，分别迎来了一场情感的挑战……,"生活,偶像,情感"
最佳情侣,讲述了以韩国娱乐圈为背景，两位顶级演员各自带着秘密制造了一场假结婚，在奋力维护虚假婚姻的过程中，逐渐发现彼此不为人知、脆弱伤痛的另一面，两人彼此影响、互相怜惜，最终走到一起的浪漫故事。男主角言希成出身贫寒却靠着不懈奋斗成为实力演员的代表，对初恋、假想妻子和爱慕者怀着不同的克制的情感，是正能量励志帝和暖男的典型形象。女主角叶欢迎表面出身豪门，是娱乐圈嚣张跋扈的顶级女明星，实际却是缺少父母关怀，深陷家族阴谋只能孤身一人抵抗的脆弱又坚强的女孩。在必须伪装自我的娱乐圈，在一场假婚姻之中，两人却找到了真心和真实的自我。,"生活,偶像,情感,自制"
